,std,share_zero,spearman_vs_target,abs_spearman,vif
log_total_purchase_count loyalty flag_invalid_recency,1.0000000000000084,0.0,0.26622428155861244,0.26622428155861244,9115.743876025628
log_product_category_diversity loyalty flag_invalid_recency,1.0000000000000058,0.0,0.26501136057345637,0.26501136057345637,402.1931662414239
loyalty^2 flag_invalid_recency,1.0000000000000004,0.0,-0.2648585128134783,0.2648585128134783,inf
loyalty flag_invalid_recency,1.0000000000000004,0.0,-0.2648585128134783,0.2648585128134783,3023.1212771556843
loyalty flag_invalid_recency^2,1.0000000000000004,0.0,-0.2648585128134783,0.2648585128134783,inf
log_average_order_value loyalty flag_invalid_recency,0.9999999999999939,0.0,-0.2616464475810164,0.2616464475810164,5147.700667012134
log_total_purchase_count^2 loyalty,1.0000000000000044,0.0,-0.24507553622635841,0.24507553622635841,12478.044177679434
log_average_order_value log_product_category_diversity,1.0000000000000004,0.0,0.2440663451513168,0.2440663451513168,39588.734360061244
log_average_order_value log_days_since_first_purchase loyalty,1.0000000000000064,0.0,-0.22487683579123496,0.22487683579123496,402950.4277020022
log_days_since_first_purchase,0.9999999999999999,0.0,0.2040612905443112,0.2040612905443112,1048099.9844595152
log_days_since_first_purchase^3,1.0000000000000009,0.0,0.2040612905443112,0.2040612905443112,139702814.98445323
log_days_since_first_purchase^2,0.9999999999999997,0.0,0.2040612905443112,0.2040612905443112,37756244.50299934
log_average_order_value loyalty^2,1.0000000000000027,0.0,-0.20027072970823784,0.20027072970823784,8980.257162536142
log_average_order_value^2 loyalty,1.0000000000000029,0.0,-0.20027072970823784,0.20027072970823784,5093.663438406194
log_average_order_value loyalty,1.0000000000000027,0.0,-0.20027072970823784,0.20027072970823784,inf
log_average_order_value log_days_since_first_purchase log_product_category_diversity,1.0,0.0,0.1872691190213085,0.1872691190213085,330363.70565690385
log_total_purchase_count log_average_order_value loyalty,1.000000000000002,0.0,0.1741392222020843,0.1741392222020843,12959.990100898734
log_total_purchase_count loyalty,1.0000000000000036,0.0,0.16552059428337712,0.16552059428337712,17548.178309895404
log_total_purchase_count loyalty^2,1.0000000000000036,0.0,0.16552059428337712,0.16552059428337712,inf
log_total_purchase_count log_days_since_first_purchase loyalty,0.9999999999999949,0.0,0.1616570069641702,0.1616570069641702,924738.8692390828
log_total_purchase_count log_days_since_last_purchase loyalty,0.999999999999995,0.0,0.15629918027038237,0.15629918027038237,350502.57039525686
log_total_purchase_count log_product_category_diversity loyalty,1.0000000000000049,0.0,-0.14396039037697245,0.14396039037697245,1757.2308897402986
log_days_since_first_purchase^2 log_days_since_last_purchase,1.0,0.0,-0.13707221968790836,0.13707221968790836,461350720.48305964
log_average_order_value log_days_since_first_purchase log_days_since_last_purchase,0.9999999999999997,0.0,0.08171662473359287,0.08171662473359287,14167344.30471481
log_average_order_value^2 log_product_category_diversity,0.9999999999999994,0.0,0.02827047419141055,0.02827047419141055,5061.39115075313
log_average_order_value log_days_since_last_purchase,0.9999999999999994,0.0,-0.010648727700926813,0.010648727700926813,987829.2891947249
